imagepath,imagepath_neg,caption,caption_neg
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000013@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000013@0.png,[fibroadenoma] Breast ultrasound image demonstrating the overall sonographic appearance of breast tissue.,[sonographically unremarkable] Breast ultrasound image demonstrating the overall sonographic appearance of breast tissue.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000014@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000014@0.png,[cyst] Breast ultrasound image showing the background tissue context of the breast.,[normal-appearing background breast tissue] Breast ultrasound image showing the background tissue context of the breast.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000016@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000016@0.png,[cyst] Breast ultrasound image demonstrating breast parenchymal echotexture.,[preserved breast tissue appearance] Breast ultrasound image demonstrating breast parenchymal echotexture.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000021@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000021@0.png,[intraductal papilloma] Breast ultrasound image showing visualized parenchymal tissue composition.,[normal breast tissue appearance] Breast ultrasound image showing visualized parenchymal tissue composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000023@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000023@0.png,[ductal carcinoma in situ] Breast ultrasound image demonstrating the background appearance of breast parenchyma.,[no discrete mass] Breast ultrasound image demonstrating the background appearance of breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000027@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000027@0.png,[Malignant] Breast ultrasound image showing sonographic breast tissue background.,[preserved breast tissue morphology] Breast ultrasound image showing sonographic breast tissue background.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000028@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000028@0.png,[invasive breast carcinoma (of no special type)] Breast ultrasound image demonstrating the echotexture of visualized breast tissue.,[unremarkable] Breast ultrasound image demonstrating the echotexture of visualized breast tissue.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000029@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000029@0.png,[invasive breast carcinoma (of no special type)] Breast ultrasound image showing the tissue composition of the breast parenchyma.,[normal breast ultrasound appearance] Breast ultrasound image showing the tissue composition of the breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000030@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000030@0.png,[invasive breast carcinoma (of no special type)] Breast ultrasound image demonstrating background breast tissue features.,[no sonographic abnormality] Breast ultrasound image demonstrating background breast tissue features.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000031@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000031@0.png,[cyst] Breast ultrasound image showing the visualized breast parenchyma with assessable tissue composition.,[normal background tissue appearance] Breast ultrasound image showing the visualized breast parenchyma with assessable tissue composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000032@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000032@0.png,[cyst] Breast ultrasound image showing breast parenchyma described by sonographic tissue appearance.,[negative breast ultrasound finding] Breast ultrasound image showing breast parenchyma described by sonographic tissue appearance.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000033@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000033@0.png,[cyst] Breast ultrasound image demonstrating background parenchymal tissue in the ultrasound field.,[normal-appearing parenchymal tissue] Breast ultrasound image demonstrating background parenchymal tissue in the ultrasound field.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000034@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000034@0.png,[cyst] Breast ultrasound image showing the sonographic appearance of the visualized breast parenchyma.,[intact parenchymal architecture] Breast ultrasound image showing the sonographic appearance of the visualized breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000035@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000035@0.png,[lymph node] Breast ultrasound image demonstrating breast tissue composition as part of the imaging background.,[intact parenchymal architecture] Breast ultrasound image demonstrating breast tissue composition as part of the imaging background.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000036@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000036@0.png,[lymph node] Breast ultrasound image showing background echotexture within the breast parenchyma.,[normal-appearing visualized breast tissue] Breast ultrasound image showing background echotexture within the breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000038@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000038@0.png,[cyst] Breast ultrasound image demonstrating parenchymal background tissue on ultrasound.,[no focal abnormality] Breast ultrasound image demonstrating parenchymal background tissue on ultrasound.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000039@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000039@0.png,[cyst] Breast ultrasound image showing the visualized background tissue of the breast.,[unremarkable breast parenchyma] Breast ultrasound image showing the visualized background tissue of the breast.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000040@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000040@0.png,[Malignant] Breast ultrasound image demonstrating the parenchymal echogenic pattern of breast tissue.,[intact parenchymal architecture] Breast ultrasound image demonstrating the parenchymal echogenic pattern of breast tissue.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000041@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000041@0.png,[cyst] Breast ultrasound image showing the imaging background of the breast parenchyma.,[no suspicious breast lesion] Breast ultrasound image showing the imaging background of the breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000042@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000042@0.png,[invasive breast carcinoma (of no special type)] Breast ultrasound image demonstrating the ultrasound appearance of breast tissue composition.,[preserved breast parenchymal appearance] Breast ultrasound image demonstrating the ultrasound appearance of breast tissue composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000043@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000043@0.png,[Malignant] Breast ultrasound image showing background breast tissue used for sonographic interpretation.,[unremarkable sonographic appearance] Breast ultrasound image showing background breast tissue used for sonographic interpretation.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000045@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000045@0.png,[ductal carcinoma in situ] Breast ultrasound image demonstrating the visible parenchymal context of the breast.,[normal breast ultrasound appearance] Breast ultrasound image demonstrating the visible parenchymal context of the breast.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000047@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000047@0.png,[Malignant] Breast ultrasound image showing sonographic texture of the breast parenchyma.,[maintained breast tissue appearance] Breast ultrasound image showing sonographic texture of the breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000050@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000050@0.png,[fibroadenoma] Breast ultrasound image demonstrating the tissue background surrounding the imaging field.,[unremarkable breast tissue appearance] Breast ultrasound image demonstrating the tissue background surrounding the imaging field.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000051@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000051@0.png,[fibroadenoma] Breast ultrasound image showing visualized breast tissue with parenchymal echotexture.,[normal-appearing breast tissue] Breast ultrasound image showing visualized breast tissue with parenchymal echotexture.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000052@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000052@0.png,[invasive breast carcinoma (of no special type)] Breast ultrasound image demonstrating the background tissue pattern of the breast.,[unremarkable breast ultrasound] Breast ultrasound image demonstrating the background tissue pattern of the breast.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000053@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000053@0.png,[invasive lobular carcinoma] Breast ultrasound image showing the sonographic breast parenchymal background.,[normal-appearing sonographic tissue] Breast ultrasound image showing the sonographic breast parenchymal background.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000055@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000055@0.png,[fibroadenoma] Breast ultrasound image demonstrating tissue composition in the visualized parenchymal region.,[preserved] Breast ultrasound image demonstrating tissue composition in the visualized parenchymal region.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000056@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000056@0.png,[invasive breast carcinoma (of no special type)] Breast ultrasound image showing the background echogenic appearance of breast tissue.,[maintained parenchymal organization] Breast ultrasound image showing the background echogenic appearance of breast tissue.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000057@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000057@0.png,[fibroadenoma] Breast ultrasound image demonstrating breast parenchymal background and sonographic tissue appearance.,[preserved background tissue appearance] Breast ultrasound image demonstrating breast parenchymal background and sonographic tissue appearance.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000058@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000058@0.png,[cyst] Breast ultrasound image showing background echotexture as part of the breast tissue context.,[no focal sonographic abnormality] Breast ultrasound image showing background echotexture as part of the breast tissue context.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000059@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000059@0.png,[fibroadenoma] Breast ultrasound image demonstrating breast tissue composition within the background parenchyma.,[radiologically unremarkable] Breast ultrasound image demonstrating breast tissue composition within the background parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000061@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000061@0.png,[cyst] Breast ultrasound image showing the background parenchymal echotexture of the breast.,[normal-appearing background breast tissue] Breast ultrasound image showing the background parenchymal echotexture of the breast.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000062@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000062@0.png,[cyst] Breast ultrasound image demonstrating sonographic tissue characteristics of the background breast parenchyma.,[preserved breast parenchymal appearance] Breast ultrasound image demonstrating sonographic tissue characteristics of the background breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000064@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000064@0.png,[cyst] Breast ultrasound image showing background breast tissue with visible parenchymal texture.,[preserved breast parenchymal appearance] Breast ultrasound image showing background breast tissue with visible parenchymal texture.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000066@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000066@0.png,[cyst] Breast ultrasound image demonstrating the tissue composition of the non-focal breast background.,[normal breast ultrasound appearance] Breast ultrasound image demonstrating the tissue composition of the non-focal breast background.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000069@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000069@0.png,[cyst] Breast ultrasound image showing visualized breast parenchyma with background echogenic texture.,[sonographically unremarkable] Breast ultrasound image showing visualized breast parenchyma with background echogenic texture.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000070@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000070@0.png,[cyst] Breast ultrasound image demonstrating background tissue composition and parenchymal appearance.,[no mass-like sonographic finding] Breast ultrasound image demonstrating background tissue composition and parenchymal appearance.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000071@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000071@0.png,[cyst] Breast ultrasound image showing the sonographic background of breast tissue composition.,[preserved breast tissue morphology] Breast ultrasound image showing the sonographic background of breast tissue composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000072@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000072@0.png,[fibroadenoma] Breast ultrasound image demonstrating background parenchymal tissue characteristics.,[preserved breast tissue appearance] Breast ultrasound image demonstrating background parenchymal tissue characteristics.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000074@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000074@0.png,[fibroadenoma] Breast ultrasound image showing the visualized glandular tissue component within breast parenchyma.,[sonographically negative] Breast ultrasound image showing the visualized glandular tissue component within breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000077@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000077@0.png,[fibroadenoma] Breast ultrasound image demonstrating the breast parenchymal background used to assess tissue composition.,[negative breast ultrasound] Breast ultrasound image demonstrating the breast parenchymal background used to assess tissue composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000078@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000078@0.png,[fibroadenoma] Breast ultrasound image showing background tissue echotexture in the visualized breast field.,[sonographically unremarkable] Breast ultrasound image showing background tissue echotexture in the visualized breast field.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000079@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000079@0.png,[fibroadenoma] Breast ultrasound image demonstrating the sonographic appearance of background breast parenchyma.,[no focal breast lesion] Breast ultrasound image demonstrating the sonographic appearance of background breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000080@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000080@0.png,[fibroadenoma] Breast ultrasound image showing background echotexture and glandular tissue context.,[preserved parenchymal morphology] Breast ultrasound image showing background echotexture and glandular tissue context.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000081@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000081@0.png,[fibroadenoma] Breast ultrasound image demonstrating breast tissue background relevant to parenchymal composition.,[no focal sonographic abnormality] Breast ultrasound image demonstrating breast tissue background relevant to parenchymal composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000082@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000082@0.png,[fibroadenoma] Breast ultrasound image showing visualized tissue composition in the background breast region.,[preserved breast tissue morphology] Breast ultrasound image showing visualized tissue composition in the background breast region.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000083@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000083@0.png,[fibroadenoma] Breast ultrasound image demonstrating the background parenchymal pattern of the breast.,[negative sonographic finding] Breast ultrasound image demonstrating the background parenchymal pattern of the breast.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000085@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000085@0.png,[fibroadenoma] Breast ultrasound image showing the echogenic background of visualized breast tissue.,[normal parenchymal appearance] Breast ultrasound image showing the echogenic background of visualized breast tissue.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000087@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000087@0.png,[fibroadenoma] Breast ultrasound image demonstrating background echotexture and parenchymal tissue context.,[radiologically unremarkable] Breast ultrasound image demonstrating background echotexture and parenchymal tissue context.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000088@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000088@0.png,[fibroadenoma] Breast ultrasound image showing visualized breast parenchyma within the sonographic field.,[sonographically negative] Breast ultrasound image showing visualized breast parenchyma within the sonographic field.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000089@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000089@0.png,[fibroadenoma] Breast ultrasound image demonstrating anatomical breast tissue within the imaging plane.,[unremarkable sonographic appearance] Breast ultrasound image demonstrating anatomical breast tissue within the imaging plane.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000090@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000090@0.png,[fibroadenoma] Breast ultrasound image showing the visualized sonographic anatomy of the breast.,[intact breast tissue appearance] Breast ultrasound image showing the visualized sonographic anatomy of the breast.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000091@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000091@0.png,[fibroadenoma] Breast ultrasound image demonstrating breast tissue structures within the field of view.,[normal breast tissue appearance] Breast ultrasound image demonstrating breast tissue structures within the field of view.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000092@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000092@0.png,[fibroadenoma] Breast ultrasound image showing parenchymal breast tissue and surrounding tissue context.,[no visible focal lesion] Breast ultrasound image showing parenchymal breast tissue and surrounding tissue context.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000093@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000093@0.png,[fibroadenoma] Breast ultrasound image demonstrating the anatomical layout of visualized breast tissue.,[normal breast tissue appearance] Breast ultrasound image demonstrating the anatomical layout of visualized breast tissue.
